timestamp,ehci6,ehci3,ehci9,ehci8,ehci7,ehci2,ehci0,ehci1,ehci5,ehci4,max,min,avg
0,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573
3,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573
4,0.0573,0.0852,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0852,0.0573,0.0601
5,0.0573,0.088,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.088,0.0573,0.0604
6,0.0573,0.088,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.0573,0.088,0.0573,0.0604
7,0.0573,0.0936,0.0573,0.0573,0.0573,0.0573,0.0573,0.0712,0.0573,0.0573,0.0936,0.0573,0.0623
8,0.0573,0.0936,0.0573,0.0573,0.0573,0.0573,0.0573,0.0712,0.0573,0.0573,0.0936,0.0573,0.0623
9,0.0573,0.1089,0.0573,0.0573,0.0573,0.0573,0.0573,0.0712,0.0573,0.0573,0.1089,0.0573,0.0639
10,0.0573,0.1103,0.0573,0.0573,0.0573,0.0782,0.0573,0.0754,0.0768,0.0573,0.1103,0.0573,0.0684
11,0.0573,0.1103,0.0573,0.0573,0.0573,0.0782,0.0573,0.0754,0.0768,0.0573,0.1103,0.0573,0.0684
12,0.0573,0.1103,0.0573,0.0573,0.0573,0.0782,0.0573,0.0754,0.0796,0.0573,0.1103,0.0573,0.0687
13,0.0573,0.1103,0.0573,0.0573,0.0573,0.0782,0.0573,0.0754,0.0936,0.0573,0.1103,0.0573,0.0701
14,0.0573,0.1103,0.0573,0.0573,0.0573,0.0782,0.0573,0.0754,0.0936,0.0573,0.1103,0.0573,0.0701
15,0.0573,0.1103,0.0573,0.0573,0.0573,0.081,0.0573,0.0754,0.0936,0.0573,0.1103,0.0573,0.0704
16,0.0573,0.1103,0.0573,0.0573,0.0573,0.081,0.0573,0.0754,0.0936,0.0573,0.1103,0.0573,0.0704
17,0.0573,0.1103,0.0573,0.0573,0.0573,0.081,0.0573,0.0754,0.0936,0.0573,0.1103,0.0573,0.0704
18,0.0573,0.1103,0.0573,0.0573,0.0573,0.081,0.0573,0.0754,0.0992,0.0573,0.1103,0.0573,0.071
19,0.0573,0.1103,0.0573,0.0573,0.0573,0.081,0.0573,0.0754,0.102,0.0573,0.1103,0.0573,0.0713
20,0.0573,0.1103,0.0573,0.0573,0.0573,0.081,0.0573,0.0754,0.102,0.0573,0.1103,0.0573,0.0713
21,0.0684,0.1103,0.0573,0.0573,0.0573,0.081,0.0573,0.0754,0.102,0.0573,0.1103,0.0573,0.0724
22,0.0684,0.1103,0.0573,0.0573,0.0573,0.081,0.0782,0.0754,0.102,0.0573,0.1103,0.0573,0.0745
23,0.0684,0.1103,0.0573,0.0573,0.0573,0.081,0.081,0.0754,0.102,0.0573,0.1103,0.0573,0.0747
24,0.0684,0.1243,0.0573,0.0573,0.0573,0.081,0.081,0.0754,0.102,0.0573,0.1243,0.0573,0.0761
25,0.0684,0.1243,0.0573,0.0573,0.0573,0.081,0.0852,0.0754,0.102,0.0573,0.1243,0.0573,0.0765
26,0.0684,0.1243,0.0573,0.0573,0.0573,0.081,0.081,0.0754,0.102,0.0573,0.1243,0.0573,0.0761
27,0.0684,0.1243,0.0573,0.0573,0.0573,0.0838,0.081,0.0754,0.102,0.0573,0.1243,0.0573,0.0764
28,0.0684,0.1243,0.0573,0.0573,0.0573,0.0838,0.081,0.0754,0.102,0.0573,0.1243,0.0573,0.0764
29,0.0684,0.1243,0.0573,0.0573,0.0573,0.0838,0.081,0.0754,0.1047,0.0573,0.1243,0.0573,0.0767
30,0.0684,0.1243,0.0573,0.0573,0.0573,0.0838,0.081,0.0754,0.1047,0.0573,0.1243,0.0573,0.0767
31,0.0684,0.1243,0.0573,0.0573,0.0628,0.0838,0.081,0.0754,0.1047,0.0573,0.1243,0.0573,0.0772
32,0.0684,0.1243,0.0573,0.0573,0.0628,0.0838,0.081,0.0754,0.1047,0.0573,0.1243,0.0573,0.0772
33,0.0684,0.1341,0.0573,0.0573,0.0628,0.0838,0.081,0.0754,0.1047,0.0573,0.1341,0.0573,0.0782
34,0.0684,0.1341,0.0573,0.0573,0.0628,0.0838,0.081,0.0754,0.1047,0.0573,0.1341,0.0573,0.0782
35,0.0684,0.1341,0.0573,0.0573,0.0628,0.0838,0.081,0.0754,0.1047,0.0573,0.1341,0.0573,0.0782
36,0.0684,0.1341,0.0573,0.0573,0.0628,0.0838,0.081,0.0754,0.1047,0.0573,0.1341,0.0573,0.0782
37,0.0684,0.1341,0.0573,0.0573,0.0628,0.0838,0.081,0.0754,0.1047,0.0573,0.1341,0.0573,0.0782
38,0.0684,0.1341,0.0573,0.0573,0.0628,0.0838,0.081,0.0754,0.1047,0.0573,0.1341,0.0573,0.0782
39,0.0684,0.1341,0.0573,0.0573,0.0628,0.0838,0.081,0.0754,0.1047,0.0573,0.1341,0.0573,0.0782
40,0.0684,0.1341,0.0573,0.0573,0.0628,0.0838,0.081,0.0754,0.1061,0.0573,0.1341,0.0573,0.0784
41,0.0684,0.1341,0.0573,0.0573,0.0628,0.0838,0.081,0.0754,0.1061,0.0573,0.1341,0.0573,0.0784
42,0.0684,0.1341,0.0573,0.0573,0.0628,0.0838,0.081,0.0754,0.1061,0.0573,0.1341,0.0573,0.0784
43,0.0684,0.1341,0.0573,0.0573,0.0628,0.0838,0.081,0.0754,0.1061,0.074,0.1341,0.0573,0.08
44,0.0684,0.1341,0.0573,0.0573,0.0628,0.1034,0.081,0.0754,0.1061,0.074,0.1341,0.0573,0.082
45,0.0684,0.1341,0.0573,0.0573,0.0628,0.1075,0.081,0.0754,0.1061,0.074,0.1341,0.0573,0.0824
46,0.0684,0.1341,0.0573,0.0573,0.0656,0.1075,0.081,0.0754,0.1089,0.074,0.1341,0.0573,0.0829
47,0.0684,0.1341,0.0573,0.0573,0.0656,0.1075,0.081,0.0754,0.1089,0.074,0.1341,0.0573,0.0829
48,0.0684,0.1341,0.0573,0.0573,0.0656,0.1075,0.081,0.0754,0.1089,0.074,0.1341,0.0573,0.0829
49,0.0684,0.1341,0.0573,0.0573,0.0656,0.1075,0.081,0.0754,0.1089,0.074,0.1341,0.0573,0.0829
50,0.0684,0.1341,0.0573,0.0573,0.0656,0.1075,0.095,0.0754,0.1089,0.074,0.1341,0.0573,0.0844
51,0.0684,0.1341,0.0573,0.0573,0.0656,0.1075,0.095,0.0754,0.1089,0.074,0.1341,0.0573,0.0844
52,0.0684,0.1341,0.0573,0.0573,0.0656,0.1075,0.095,0.0768,0.1089,0.074,0.1341,0.0573,0.0845
53,0.0684,0.1341,0.0573,0.0573,0.0656,0.1075,0.095,0.0768,0.1089,0.074,0.1341,0.0573,0.0845
54,0.0684,0.1341,0.0573,0.0573,0.0656,0.1075,0.095,0.0768,0.1089,0.074,0.1341,0.0573,0.0845
55,0.0684,0.1341,0.0573,0.0573,0.0656,0.1075,0.095,0.0768,0.1089,0.074,0.1341,0.0573,0.0845
56,0.0684,0.1341,0.0573,0.0573,0.0656,0.1075,0.095,0.0768,0.1089,0.074,0.1341,0.0573,0.0845
57,0.0684,0.1341,0.0573,0.0573,0.0656,0.1075,0.095,0.0768,0.1089,0.074,0.1341,0.0573,0.0845
58,0.0684,0.1341,0.0573,0.0573,0.0656,0.1075,0.095,0.0768,0.1089,0.074,0.1341,0.0573,0.0845
59,0.0684,0.1341,0.0573,0.0573,0.0656,0.1075,0.095,0.0768,0.1089,0.074,0.1341,0.0573,0.0845
60,0.0684,0.1341,0.0573,0.0573,0.0656,0.1075,0.095,0.0768,0.1089,0.074,0.1341,0.0573,0.0845
61,0.0684,0.1341,0.0573,0.0573,0.0656,0.1117,0.095,0.0768,0.1089,0.074,0.1341,0.0573,0.0849
62,0.0684,0.1341,0.0573,0.0573,0.0656,0.1117,0.095,0.0768,0.1089,0.074,0.1341,0.0573,0.0849
63,0.0684,0.1341,0.0573,0.0573,0.0656,0.1117,0.095,0.0768,0.1089,0.074,0.1341,0.0573,0.0849
64,0.0684,0.1341,0.0573,0.0573,0.0656,0.1159,0.095,0.0768,0.1089,0.074,0.1341,0.0573,0.0853
65,0.0684,0.1341,0.0684,0.0573,0.0656,0.1159,0.095,0.0768,0.1089,0.074,0.1341,0.0573,0.0864
66,0.0684,0.1341,0.0684,0.0573,0.0656,0.1159,0.095,0.0768,0.1089,0.074,0.1341,0.0573,0.0864
67,0.0684,0.1341,0.0684,0.0573,0.0656,0.1159,0.095,0.0768,0.1089,0.074,0.1341,0.0573,0.0864
68,0.0684,0.1341,0.0684,0.0573,0.0656,0.1159,0.095,0.0768,0.1131,0.074,0.1341,0.0573,0.0869
69,0.0684,0.1341,0.0684,0.0573,0.0656,0.1159,0.095,0.0768,0.1131,0.074,0.1341,0.0573,0.0869
70,0.0684,0.1341,0.0684,0.0573,0.067,0.1159,0.095,0.0768,0.1131,0.074,0.1341,0.0573,0.087
71,0.0684,0.1369,0.0684,0.0573,0.067,0.1159,0.095,0.0768,0.1131,0.074,0.1369,0.0573,0.0873
72,0.0684,0.1369,0.0684,0.0573,0.067,0.1159,0.095,0.0768,0.1131,0.074,0.1369,0.0573,0.0873
73,0.0684,0.1369,0.0684,0.0573,0.067,0.1159,0.095,0.0768,0.1131,0.074,0.1369,0.0573,0.0873
74,0.0684,0.1369,0.0684,0.0573,0.067,0.1159,0.095,0.0768,0.1131,0.0852,0.1369,0.0573,0.0884
75,0.0684,0.1369,0.0698,0.0573,0.067,0.1159,0.095,0.0768,0.1131,0.0852,0.1369,0.0573,0.0885
76,0.0684,0.1369,0.0698,0.0684,0.067,0.1159,0.095,0.0768,0.1662,0.0852,0.1662,0.067,0.095
77,0.0684,0.1369,0.0698,0.0684,0.067,0.1159,0.095,0.0768,0.1662,0.0852,0.1662,0.067,0.095
78,0.0684,0.1369,0.0698,0.0684,0.0824,0.1159,0.095,0.0768,0.1662,0.0852,0.1662,0.0684,0.0965
79,0.0684,0.1369,0.0698,0.0684,0.0824,0.1159,0.095,0.0768,0.1676,0.0852,0.1676,0.0684,0.0966
80,0.0684,0.1369,0.0698,0.0684,0.0824,0.1159,0.095,0.0768,0.1676,0.0852,0.1676,0.0684,0.0966
81,0.0684,0.1369,0.0698,0.0684,0.0824,0.1159,0.095,0.0768,0.1704,0.0852,0.1704,0.0684,0.0969
82,0.0684,0.1369,0.0698,0.0684,0.0824,0.1159,0.095,0.0768,0.1704,0.0852,0.1704,0.0684,0.0969
83,0.0684,0.1369,0.0698,0.074,0.0824,0.1159,0.095,0.0768,0.1704,0.0852,0.1704,0.0684,0.0975
84,0.0684,0.1369,0.0698,0.074,0.0824,0.1159,0.0978,0.0768,0.1704,0.0852,0.1704,0.0684,0.0978
85,0.0684,0.1369,0.0698,0.074,0.0866,0.1159,0.0978,0.0768,0.1704,0.0852,0.1704,0.0684,0.0982
86,0.0684,0.1369,0.0698,0.074,0.0866,0.1159,0.0978,0.0768,0.1704,0.0852,0.1704,0.0684,0.0982
87,0.0684,0.1369,0.0698,0.0852,0.0866,0.1159,0.0978,0.0768,0.1704,0.0852,0.1704,0.0684,0.0993
88,0.0684,0.1369,0.081,0.0852,0.0866,0.1159,0.0978,0.0768,0.1704,0.0852,0.1704,0.0684,0.1004
89,0.0684,0.1369,0.0852,0.0852,0.0866,0.1159,0.0978,0.0796,0.1704,0.0852,0.1704,0.0684,0.1011
90,0.0684,0.1397,0.0852,0.0852,0.0866,0.1159,0.0978,0.0796,0.1704,0.0852,0.1704,0.0684,0.1014
91,0.0684,0.1397,0.0852,0.0852,0.0866,0.1159,0.0978,0.0796,0.1704,0.0852,0.1704,0.0684,0.1014
92,0.0684,0.1397,0.0852,0.0852,0.0866,0.1159,0.0992,0.0796,0.1704,0.0852,0.1704,0.0684,0.1015
93,0.0684,0.1397,0.0852,0.0852,0.0866,0.1159,0.0992,0.0796,0.1704,0.0852,0.1704,0.0684,0.1015
94,0.0684,0.1397,0.0852,0.0852,0.0866,0.1159,0.0992,0.0796,0.1704,0.0852,0.1704,0.0684,0.1015
95,0.0684,0.1397,0.0852,0.0852,0.0866,0.1159,0.0992,0.0796,0.1704,0.0852,0.1704,0.0684,0.1015
96,0.0684,0.1397,0.0852,0.0852,0.0866,0.1159,0.0992,0.0796,0.1704,0.0852,0.1704,0.0684,0.1015
97,0.0684,0.1397,0.0852,0.0866,0.0894,0.1159,0.0992,0.0796,0.1704,0.0852,0.1704,0.0684,0.102
98,0.0684,0.1397,0.0852,0.0866,0.0894,0.1159,0.0992,0.0796,0.1704,0.0852,0.1704,0.0684,0.102
99,0.0684,0.1397,0.0852,0.0866,0.0894,0.1159,0.0992,0.0796,0.1704,0.0852,0.1704,0.0684,0.102
100,0.0684,0.1397,0.0852,0.0866,0.0894,0.1173,0.0992,0.0796,0.1732,0.0852,0.1732,0.0684,0.1024
101,0.0684,0.1397,0.0852,0.095,0.0894,0.1173,0.0992,0.0796,0.1732,0.0852,0.1732,0.0684,0.1032
102,0.0684,0.1397,0.0852,0.095,0.0894,0.1173,0.0992,0.0796,0.1732,0.0852,0.1732,0.0684,0.1032
103,0.0684,0.1397,0.0852,0.095,0.0992,0.1173,0.0992,0.0796,0.1732,0.0852,0.1732,0.0684,0.1042
104,0.0684,0.1397,0.0852,0.095,0.0992,0.1173,0.0992,0.0796,0.1732,0.0852,0.1732,0.0684,0.1042
105,0.0684,0.1397,0.0852,0.095,0.0992,0.1173,0.0992,0.0796,0.1732,0.0852,0.1732,0.0684,0.1042
106,0.0684,0.1397,0.0852,0.095,0.0992,0.1173,0.0992,0.0796,0.1732,0.0852,0.1732,0.0684,0.1042
107,0.0684,0.1439,0.0852,0.095,0.0992,0.1173,0.0992,0.0796,0.1732,0.0852,0.1732,0.0684,0.1046
108,0.0684,0.1439,0.0852,0.095,0.0992,0.1173,0.0992,0.0796,0.1732,0.0852,0.1732,0.0684,0.1046
109,0.0684,0.1439,0.0852,0.0964,0.0992,0.1173,0.0992,0.0796,0.1732,0.0852,0.1732,0.0684,0.1048
110,0.0684,0.1439,0.0852,0.0964,0.0992,0.1173,0.0992,0.0796,0.1732,0.0852,0.1732,0.0684,0.1048
111,0.0684,0.1439,0.0852,0.0964,0.0992,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1049
112,0.0684,0.1439,0.0852,0.0964,0.0992,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1049
113,0.0684,0.1439,0.0852,0.0964,0.0992,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1049
114,0.0684,0.1439,0.0852,0.0964,0.0992,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1049
115,0.0684,0.1439,0.0852,0.0964,0.0992,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1049
116,0.0684,0.1439,0.0852,0.0992,0.0992,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1052
117,0.0684,0.1439,0.0852,0.0992,0.0992,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1052
118,0.0684,0.1439,0.0852,0.0992,0.0992,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1052
119,0.0684,0.1439,0.0852,0.0992,0.0992,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1052
120,0.0684,0.1439,0.0852,0.0992,0.0992,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1052
121,0.0684,0.1439,0.0852,0.0992,0.0992,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1052
122,0.0684,0.1439,0.0852,0.0992,0.1034,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1056
123,0.0684,0.1439,0.0852,0.0992,0.1034,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1056
124,0.0684,0.1439,0.0852,0.0992,0.1034,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1056
125,0.0684,0.1439,0.0852,0.0992,0.1034,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1056
126,0.0684,0.1439,0.0852,0.0992,0.1034,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1056
127,0.0684,0.1439,0.0852,0.0992,0.1034,0.1173,0.0992,0.0796,0.1732,0.0866,0.1732,0.0684,0.1056
128,0.0684,0.1439,0.0852,0.0992,0.1034,0.1173,0.1006,0.0796,0.1732,0.0866,0.1732,0.0684,0.1057
129,0.0684,0.1439,0.0852,0.0992,0.1034,0.1173,0.1006,0.0796,0.1732,0.0866,0.1732,0.0684,0.1057
130,0.0684,0.1439,0.0852,0.0992,0.1034,0.1173,0.1006,0.0796,0.1732,0.0866,0.1732,0.0684,0.1057
131,0.0684,0.1439,0.0866,0.0992,0.1034,0.1173,0.1006,0.0796,0.1816,0.0866,0.1816,0.0684,0.1067
132,0.0684,0.1439,0.0866,0.0992,0.1034,0.1173,0.1006,0.0796,0.1816,0.0866,0.1816,0.0684,0.1067
133,0.0684,0.1439,0.0866,0.0992,0.1034,0.1173,0.1006,0.0796,0.1816,0.0866,0.1816,0.0684,0.1067
134,0.0684,0.1439,0.0866,0.0992,0.1034,0.1173,0.1006,0.0796,0.1816,0.0866,0.1816,0.0684,0.1067
135,0.0684,0.1439,0.0866,0.0992,0.1034,0.1173,0.1006,0.0796,0.1816,0.0866,0.1816,0.0684,0.1067
136,0.0684,0.1439,0.0866,0.0992,0.1034,0.1173,0.1006,0.0796,0.1816,0.0866,0.1816,0.0684,0.1067
137,0.0684,0.1439,0.0866,0.0992,0.1034,0.1173,0.1006,0.0796,0.1816,0.0866,0.1816,0.0684,0.1067
138,0.0684,0.1439,0.0866,0.0992,0.1034,0.1173,0.1006,0.0796,0.1816,0.0866,0.1816,0.0684,0.1067
139,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.102,0.0796,0.1816,0.0866,0.1816,0.0684,0.1078
140,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.102,0.0796,0.1816,0.0866,0.1816,0.0684,0.1078
141,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.102,0.0796,0.1816,0.0866,0.1816,0.0684,0.1078
142,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.102,0.0796,0.1816,0.0866,0.1816,0.0684,0.1078
143,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.102,0.0796,0.1816,0.0866,0.1816,0.0684,0.1078
144,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.102,0.0796,0.1927,0.0866,0.1927,0.0684,0.1089
145,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.102,0.0796,0.1927,0.0866,0.1927,0.0684,0.1089
146,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.102,0.0796,0.1927,0.0866,0.1927,0.0684,0.1089
147,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.102,0.0796,0.1927,0.0866,0.1927,0.0684,0.1089
148,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.102,0.0796,0.1927,0.0866,0.1927,0.0684,0.1089
149,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0684,0.1102
150,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0684,0.1102
151,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0684,0.1102
152,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0684,0.1102
153,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0684,0.1102
154,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0684,0.1102
155,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0684,0.1102
156,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0684,0.1102
157,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0684,0.1102
158,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0684,0.1102
159,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0684,0.1102
160,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0684,0.1102
161,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0684,0.1102
162,0.0684,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0684,0.1102
163,0.0726,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0726,0.1106
164,0.0726,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0726,0.1106
165,0.0726,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1927,0.0866,0.1927,0.0726,0.1106
166,0.0726,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1969,0.0866,0.1969,0.0726,0.111
167,0.0754,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1969,0.0866,0.1969,0.0754,0.1113
168,0.0754,0.1439,0.0866,0.1089,0.1034,0.1173,0.1145,0.0796,0.1969,0.0866,0.1969,0.0754,0.1113
169,0.0754,0.1439,0.088,0.1089,0.1034,0.1173,0.1145,0.0796,0.1969,0.0866,0.1969,0.0754,0.1115
170,0.0754,0.1439,0.088,0.1089,0.1034,0.1173,0.1145,0.0796,0.1969,0.0866,0.1969,0.0754,0.1115
171,0.0754,0.1439,0.088,0.1089,0.1034,0.1173,0.1145,0.0796,0.1969,0.0866,0.1969,0.0754,0.1115
172,0.0754,0.1439,0.088,0.1089,0.1034,0.1173,0.1145,0.0796,0.1969,0.0866,0.1969,0.0754,0.1115
