timestamp,ne20009,ne20005,ne20008,ne20002,ne20004,ne20000,ne20003,ne20001,ne20006,ne20007,max,min,avg
0,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091
3,0.0091,0.05,0.0091,0.05,0.05,0.05,0.05,0.05,0.05,0.0091,0.05,0.0091,0.0377
4,0.05,0.6773,0.05,0.65,0.6227,0.7,0.55,0.7682,0.5455,0.05,0.7682,0.05,0.4664
5,0.6955,0.8409,0.7364,0.7864,0.7182,0.7409,0.6682,0.85,0.7091,0.5182,0.85,0.5182,0.7264
6,0.8045,0.8545,0.8636,0.8773,0.7182,0.7591,0.6864,0.8682,0.7091,0.5864,0.8773,0.5864,0.7727
7,0.8682,0.8727,0.8682,0.8818,0.8045,0.7636,0.6955,0.8773,0.7682,0.6545,0.8818,0.6545,0.8055
8,0.8818,0.8909,0.8727,0.8864,0.85,0.7864,0.8182,0.8773,0.85,0.6909,0.8909,0.6909,0.8405
9,0.8864,0.8955,0.8773,0.8909,0.8727,0.7864,0.8409,0.8864,0.8636,0.75,0.8955,0.75,0.855
10,0.8864,0.8955,0.8773,0.8909,0.8864,0.8,0.8409,0.8864,0.8636,0.8409,0.8955,0.8,0.8668
11,0.8864,0.8955,0.8773,0.8909,0.8864,0.8091,0.8409,0.8864,0.8636,0.8455,0.8955,0.8091,0.8682
12,0.8864,0.8955,0.8818,0.8909,0.8864,0.8091,0.8727,0.8864,0.8636,0.8636,0.8955,0.8091,0.8736
13,0.8864,0.8955,0.8818,0.8909,0.8864,0.8136,0.8727,0.8864,0.8727,0.8682,0.8955,0.8136,0.8755
14,0.8864,0.8955,0.8818,0.8909,0.8864,0.8136,0.8727,0.8864,0.8727,0.8682,0.8955,0.8136,0.8755
15,0.8864,0.8955,0.8864,0.8909,0.8909,0.8455,0.8773,0.8864,0.8727,0.8682,0.8955,0.8455,0.88
16,0.8864,0.8955,0.8864,0.8909,0.8909,0.8455,0.8773,0.8864,0.8727,0.8818,0.8955,0.8455,0.8814
17,0.8864,0.8955,0.8864,0.8909,0.8909,0.85,0.8773,0.8864,0.8773,0.8818,0.8955,0.85,0.8823
18,0.8864,0.8955,0.8864,0.8909,0.8909,0.8545,0.8773,0.8864,0.8773,0.8818,0.8955,0.8545,0.8827
19,0.8864,0.8955,0.8864,0.8909,0.8909,0.8636,0.8773,0.9,0.8773,0.8818,0.9,0.8636,0.885
20,0.8864,0.8955,0.8864,0.8909,0.8909,0.8682,0.8773,0.9,0.8773,0.8864,0.9,0.8682,0.8859
21,0.8864,0.8955,0.8864,0.8909,0.8909,0.8682,0.8773,0.9,0.8773,0.8864,0.9,0.8682,0.8859
22,0.8864,0.8955,0.8864,0.8909,0.8909,0.8727,0.8909,0.9,0.8773,0.8864,0.9,0.8727,0.8877
23,0.8864,0.8955,0.8864,0.8909,0.8909,0.8727,0.8909,0.9,0.8773,0.8864,0.9,0.8727,0.8877
24,0.8864,0.8955,0.8864,0.8909,0.8909,0.8773,0.8909,0.9,0.8773,0.8864,0.9,0.8773,0.8882
25,0.8864,0.8955,0.8864,0.8909,0.8909,0.8773,0.8909,0.9,0.8773,0.8864,0.9,0.8773,0.8882
26,0.8864,0.8955,0.8864,0.8909,0.8909,0.8773,0.8909,0.9,0.8773,0.8864,0.9,0.8773,0.8882
27,0.8864,0.8955,0.8864,0.8909,0.8909,0.8773,0.8909,0.9,0.8773,0.8864,0.9,0.8773,0.8882
28,0.8864,0.8955,0.8864,0.8909,0.8909,0.8773,0.8909,0.9,0.8773,0.8864,0.9,0.8773,0.8882
29,0.8864,0.8955,0.8864,0.8909,0.8909,0.8773,0.8909,0.9,0.8773,0.8864,0.9,0.8773,0.8882
30,0.8864,0.8955,0.8864,0.8909,0.8955,0.8773,0.8909,0.9,0.8773,0.8864,0.9,0.8773,0.8887
31,0.8864,0.8955,0.8864,0.8909,0.8955,0.8818,0.8909,0.9,0.8773,0.8864,0.9,0.8773,0.8891
32,0.8864,0.8955,0.8864,0.8909,0.8955,0.8818,0.8909,0.9,0.8773,0.8864,0.9,0.8773,0.8891
33,0.8864,0.9,0.8864,0.8909,0.8955,0.8818,0.8909,0.9,0.8773,0.8864,0.9,0.8773,0.8896
34,0.8864,0.9,0.8864,0.8909,0.8955,0.8818,0.8909,0.9,0.8773,0.8909,0.9,0.8773,0.89
35,0.8864,0.9,0.8864,0.8909,0.8955,0.8818,0.8909,0.9,0.8773,0.8909,0.9,0.8773,0.89
36,0.8864,0.9,0.8864,0.8909,0.8955,0.8818,0.8909,0.9,0.8773,0.8909,0.9,0.8773,0.89
37,0.8864,0.9,0.8864,0.8909,0.8955,0.8818,0.8909,0.9,0.8773,0.9,0.9,0.8773,0.8909
38,0.8864,0.9,0.8864,0.8909,0.8955,0.8818,0.8955,0.9,0.8773,0.9,0.9,0.8773,0.8914
39,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9,0.8773,0.9,0.9,0.8773,0.8918
40,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
41,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
42,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
43,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
44,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
45,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
46,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
47,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
48,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
49,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
50,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
51,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
52,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
53,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
54,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
55,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
56,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
57,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
58,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
59,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
60,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
61,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
62,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
63,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
64,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
65,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
66,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
67,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
68,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
69,0.8864,0.9,0.8864,0.8955,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8923
70,0.8864,0.9,0.8955,0.9045,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8941
71,0.8864,0.9,0.8955,0.9045,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8941
72,0.8864,0.9,0.8955,0.9045,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8941
73,0.8864,0.9,0.8955,0.9045,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8941
74,0.8864,0.9,0.8955,0.9045,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8941
75,0.8864,0.9,0.8955,0.9045,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8941
76,0.8864,0.9,0.8955,0.9045,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8941
77,0.8864,0.9,0.8955,0.9045,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8941
78,0.8864,0.9,0.8955,0.9045,0.8955,0.8818,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8941
79,0.8864,0.9,0.8955,0.9045,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8959
80,0.8864,0.9,0.8955,0.9045,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8959
81,0.8864,0.9,0.8955,0.9045,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8959
82,0.8909,0.9,0.8955,0.9045,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8964
83,0.8909,0.9,0.8955,0.9045,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8964
84,0.8909,0.9,0.8955,0.9045,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8964
85,0.8909,0.9,0.8955,0.9045,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8964
86,0.8909,0.9,0.8955,0.9045,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9045,0.8773,0.8964
87,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9091,0.8773,0.8968
88,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9091,0.8773,0.8968
89,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9091,0.8773,0.8968
90,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9091,0.8773,0.8968
91,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9091,0.8773,0.8968
92,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9091,0.8773,0.8968
93,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9091,0.8773,0.8968
94,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9091,0.8773,0.8968
95,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9091,0.8773,0.8968
96,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9091,0.8773,0.8968
97,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8773,0.9,0.9091,0.8773,0.8968
98,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8864,0.9,0.9091,0.8864,0.8977
99,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8909,0.9,0.9091,0.8909,0.8982
100,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8909,0.9,0.9091,0.8909,0.8982
101,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8909,0.9,0.9091,0.8909,0.8982
102,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8909,0.9,0.9091,0.8909,0.8982
103,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8909,0.9,0.9091,0.8909,0.8982
104,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8909,0.9,0.9091,0.8909,0.8982
105,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8909,0.9,0.9091,0.8909,0.8982
106,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8909,0.9,0.9091,0.8909,0.8982
107,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8909,0.9,0.9091,0.8909,0.8982
108,0.8909,0.9,0.8955,0.9091,0.8955,0.9,0.8955,0.9045,0.8909,0.9,0.9091,0.8909,0.8982
109,0.8909,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9045,0.8909,0.9,0.9091,0.8909,0.8986
110,0.8909,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9045,0.8909,0.9,0.9091,0.8909,0.8986
111,0.8909,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9045,0.8909,0.9,0.9091,0.8909,0.8986
112,0.8909,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9045,0.8909,0.9,0.9091,0.8909,0.8986
113,0.8909,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9045,0.8909,0.9,0.9091,0.8909,0.8986
114,0.8909,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.8995
115,0.8955,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.9
116,0.8955,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.9
117,0.8955,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.9
118,0.8955,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.9
119,0.8955,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.9
120,0.8955,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.9
121,0.8955,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.9
122,0.8955,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.9
123,0.8955,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.9
124,0.8955,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.9
125,0.8955,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.9
126,0.8955,0.9,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.9
127,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.9014
128,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.9014
129,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.9014
130,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8909,0.9,0.9136,0.8909,0.9014
131,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8955,0.9,0.9136,0.8955,0.9018
132,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8955,0.9,0.9136,0.8955,0.9018
133,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8955,0.9,0.9136,0.8955,0.9018
134,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8955,0.9,0.9136,0.8955,0.9018
135,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8955,0.9,0.9136,0.8955,0.9018
136,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8955,0.9,0.9136,0.8955,0.9018
137,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9136,0.8955,0.9,0.9136,0.8955,0.9018
138,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
139,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
140,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
141,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
142,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
143,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
144,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
145,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
146,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
147,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
148,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
149,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
150,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
151,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
152,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
153,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
154,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
155,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
156,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
157,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
158,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
159,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
160,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
161,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
162,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
163,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
164,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
165,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
166,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
167,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
168,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
169,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
170,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
171,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
172,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
173,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.8955,0.9,0.9227,0.8955,0.9027
174,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
175,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
176,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
177,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
178,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
179,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
180,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
181,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
182,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
183,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
184,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
185,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
186,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
187,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
188,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
189,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
190,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
191,0.8955,0.9136,0.8955,0.9091,0.8955,0.9045,0.8955,0.9227,0.9,0.9,0.9227,0.8955,0.9032
